id,name,email,password_hash,phone,vehicle_type,preferred_price,created_at
f85ce946-c276-496c-8441-4a6691abc6a7,Nikhil Deshmukh,nikhil.deshmukh0@example.com,$2b$12$hash0000user,9639444511,car,45.61,2025-01-23T00:00:00
766cd438-feda-499f-9731-6e4309faf4aa,Sai Joshi,sai.joshi1@example.com,$2b$12$hash0001user,9276791198,bike,25.86,2025-08-02T00:00:00
5246af6a-9378-4809-8ae6-8f17233cf673,Ishaan Chopra,ishaan.chopra2@example.com,$2b$12$hash0002user,9799664353,bike,49.01,2025-04-24T00:00:00
f51d82d7-5841-4df4-b3cd-20caac639592,Diya Verma,diya.verma3@example.com,$2b$12$hash0003user,9550667066,bike,20.04,2025-07-20T00:00:00
f010f9cc-b2a2-4f4c-bff3-653872140b2c,Vikram Chatterjee,vikram.chatterjee4@example.com,$2b$12$hash0004user,9112542658,car,23.04,2025-03-11T00:00:00
b6fe13bd-fe3d-49c4-9a15-dc10fd806d1c,Manish Chatterjee,manish.chatterjee5@example.com,$2b$12$hash0005user,9218639995,bike,38.72,2025-07-27T00:00:00
cf6fa6c2-ef72-4865-869e-2eea08c884a3,Vikram Iyer,vikram.iyer6@example.com,$2b$12$hash0006user,9209649253,bike,32.72,2025-07-19T00:00:00
567e2465-08d4-43c4-8872-6efd2d444d9a,Anika Kapoor,anika.kapoor7@example.com,$2b$12$hash0007user,9724836191,car,35.34,2025-04-08T00:00:00
857902eb-1351-4a17-b66c-d0020a8a460a,Aisha Sharma,aisha.sharma8@example.com,$2b$12$hash0008user,9279798086,ev,43.14,2025-01-20T00:00:00
44d64af1-52f4-472d-a634-dedc68426f80,Sneha Verma,sneha.verma9@example.com,$2b$12$hash0009user,9743866415,bike,40.86,2025-06-29T00:00:00
49c40658-bf14-457d-aab1-ff142d500a0e,Kiara Joshi,kiara.joshi10@example.com,$2b$12$hash0010user,9490452277,car,47.46,2025-02-08T00:00:00
a6fbc3d3-ca09-49e9-b311-cc3073cb59ce,Aditya Chauhan,aditya.chauhan11@example.com,$2b$12$hash0011user,9172782596,car,25.53,2025-04-04T00:00:00
5a6b23c7-c27b-4d06-b319-4c7f4dc8c5d4,Myra Reddy,myra.reddy12@example.com,$2b$12$hash0012user,9218995036,car,38.2,2025-04-22T00:00:00
ce569a2d-31ec-491e-a27f-3cc789efcb50,Tanvi Kumar,tanvi.kumar13@example.com,$2b$12$hash0013user,9382363801,car,25.03,2025-07-25T00:00:00
9cc3bdbe-eebe-44c1-af7d-d182e0bb848e,Ishaan Naidu,ishaan.naidu14@example.com,$2b$12$hash0014user,9964256002,ev,15.87,2025-07-18T00:00:00
86a025a2-4f9a-4657-920a-f0dd92507d51,Krishna Ahmed,krishna.ahmed15@example.com,$2b$12$hash0015user,9637242497,car,37.19,2025-05-06T00:00:00
31ce3d13-f25a-49ba-96be-de4c9d2c4dfb,Manish Kulkarni,manish.kulkarni16@example.com,$2b$12$hash0016user,9750990371,bike,29.67,2025-02-12T00:00:00
2641f5d4-a55d-4bf1-be2b-6179532fbdf0,Pooja Patel,pooja.patel17@example.com,$2b$12$hash0017user,9105859928,ev,35.86,2025-07-27T00:00:00
